follow_up,main_survey,cntry
67647A37-388A-298A-EF37-3940B6D8D041,67124D6A-C9BA-C2E5-9EC8-5A747555867C,DE
6765901F-BA7E-4A31-E005-1B6F538F80B9,671A6CCA-818E-05F8-1BC7-9E6B0529A801,DE
67646B06-AFB9-863C-DD6F-F0D293E3337C,670EB65C-986C-9856-2EC0-58DA8DEBC201,DE
6765C01C-6872-62C7-A61E-752BA7F0DFEA,671A54ED-44A8-FA52-6886-D3D25F7C586F,DE
677537AD-4C10-D283-574C-D538545262F4,671A52C6-963E-E560-FEF8-E717A0473572,DE
676AB506-8954-7A96-B1DC-69B575A32BEE,67160FE6-CEEF-82E3-B03C-BD6E765C02C7,DE
67653924-2BD4-EA63-2B4A-A7200D04677C,6712275E-FE19-C8AD-6143-8B03A35F4A73,DE
676516E7-D2BB-34F6-9AC1-E4AC4D57AD2D,67123988-D7A2-8014-BE3F-607D926646E2,DE
6783BE6B-3653-E845-4E15-0B574C4FAD3E,671140F7-8398-01B9-D876-84790F5ED8A6,DE
67684EFC-D504-5608-4AE8-9BE2FDEC21D6,670FB526-B6E6-119B-20FE-C538385432FD,DE
67653780-9BB4-1486-388B-E6E9BC40D049,670F8C9B-FBEF-1EB3-8931-05978CDCB320,DE
67658A05-882F-4AE7-BEEB-7C5B69171A2E,6717BCF9-A473-5C46-DA6D-14744910BDF5,DE
67696D4C-8332-D90F-8F6A-752147FCCE2F,67112DAC-129A-558C-1442-DCD47C3873B9,DE
6772D81E-2AD7-4516-3487-6F2C612909C7,671688BA-3326-E039-5965-67D0CCAF86D7,DE
6779750D-544B-0851-E296-55B6A7245EDB,671967A7-FD90-A39D-E8D7-DDCF44295609,DE
676854B1-7FA6-11DA-6666-20BF14F275E4,67191EDF-672B-3D6C-149E-6BF158EFB26A,DE
6776DE2E-7F4D-2901-04A7-19DF50F400CF,671140E4-D2C3-322C-6F92-F52FD5118050,DE
6767E33D-64C7-C2D8-EC9C-8F00353E4D42,670F836E-A9A0-B399-FE03-C6FCBE5EC561,DE
67646E9E-06F4-7000-5AF6-DBE153B60FE1,670E4EBF-35BD-8324-3B5B-AE5F9E9E5FD3,DE
6776B2D7-2C30-5D68-387B-2B936A9DE117,6710CBD6-E7BB-7C1F-7F1E-C00B66549038,DE
67769437-88C2-DC78-2A09-B6ACC5D51568,6710ECAC-721F-F9E9-6598-928490333365,DE
676428E8-55B1-E93C-CEC9-1BE9678F43E1,67110632-3218-F895-B619-BA49429C6122,DE
676BF137-1135-DAA3-C0DC-E4662B5D6DB7,671F5C4D-CA7F-6469-BA6A-B4CABC384B7C,DE
677A66E1-8EEF-CA6C-2702-422742F82D58,671265C8-EB28-9B3B-8222-FDADC939AAC0,DE
6777FD42-B73A-C70E-7D88-722997A38CF4,671CD636-6053-5EE8-8565-024A1481B61A,DE
6766D264-3FEB-12A8-C493-98924A7CBF9F,67128CE0-A870-E009-FD49-C2D62D096A03,DE
6768699F-23FC-83F6-7F37-CBF436F7A561,6710F42F-8E8C-6C76-2531-560FB0EB6766,DE
676727AA-3515-B50A-D7D7-C6778331B40C,67100248-71C8-2848-00C4-13A582E35654,DE
67652670-B743-4591-EF2D-61E01777B616,6711306A-3332-9764-B3B4-0594E3E84E70,DE
6765ABA7-A412-DFD3-8C81-69855F031EFF,67128D32-3E08-EBCF-9CD8-AE3AD0023AF0,DE
6776D3B9-303F-A98F-CA39-87E4C975BC95,670E2696-960D-2E32-4E71-C61FBAFE73A1,DE
676808C4-542C-09F7-B1D4-1B36781FA8EF,670CCAF4-9F3C-9FB9-CA91-0781BF799358,DE
6769C835-B507-693B-C0C8-BDE31B598BF1,671776D6-5974-F9B2-1EDF-703F13C0EE43,DE
67644B9C-C515-2AAB-8BF2-D2904A9A02D6,671285F9-3D1C-7550-DACD-4389E2906E97,DE
6764A12C-79BB-3103-5E4F-A633E4E14372,6707ED89-1805-9A2E-37C6-4ABF981A3C69,DE
6764E5AF-905C-7FEA-95B8-B856193A2A56,6719269B-353F-F757-1FF2-02C046D3C193,DE
67767AA1-95CC-C370-4D11-18CB187A492B,670FE040-B07D-E58A-707C-CFA3C8F1FB65,DE
676C0B36-FEC1-BD13-B952-077A94E3AC89,670E4ABA-A99C-FCF2-CCE3-1033337BBE9E,DE
6765FC69-D579-04C4-71E9-08D7182EE251,670E32B3-69C3-3315-0254-12BC8C484472,DE
676479DA-A1AB-37CF-734B-4A3FF3F61D26,6716B866-D2D3-612F-44ED-537B009B1AA7,DE
676EE4AE-B99C-6402-6A5C-1AFB47297A9E,67124F27-081A-F993-AB51-4C87E3293F2B,DE
6771118C-0742-1C85-ADC4-9E1D913461AE,670E818C-D20F-5B39-AF52-FDB678E6FEEC,DE
67652599-27E3-EC7E-441F-AFEFE4BCDEC5,670EC65A-570B-B8E5-22F7-57DE36CDAD54,DE
67700FB5-029A-73F9-40C5-E67BA6D27734,6717A568-EA3B-6097-B714-91691A69C360,DE
67657A2C-A6D6-1860-EFCE-01EEE4B71814,6710FF92-B7F1-04AB-3191-BB00C04E1DBC,DE
6764C679-5040-7419-D7B2-BCB1EBFB0DF7,67175178-6CC9-9FC8-6EAF-4E51F1DC073B,DE
67671744-A039-B51B-3140-3BB020A13A75,670ECA19-736E-B609-7CAE-9FC596AA6F3F,DE
67778917-15C3-7CF5-F431-54EED9F49806,671219E7-B628-C962-C7B1-19B05608D874,DE
676466F9-2257-EFCD-73EF-C690BDACBEFB,670FF61C-EF7A-67A7-C116-893DE5297FA6,DE
676F05F2-1475-297E-7BD4-1807422D15C1,671116A7-57CC-1224-AAA9-1256B3D014BF,DE
677E7A31-6497-4A2B-54F7-C421CFAC7B06,670E6B08-AF14-85FE-5114-266CB804B052,DE
6766A4D1-CE65-979A-9710-DE1189C72A6B,670FBF2A-FD0D-1A69-DA78-6478C6489FFA,DE
6765E16A-4AAF-EF44-DAD5-FCEF534CC612,671123C0-6291-8E77-A14E-70D7C9D45D2C,DE
6765201D-F220-B7B1-7F46-546F59A17FDF,670E59CF-AE2F-D3EA-00B7-DAC22B24A0F5,DE
67702F39-5C2C-4F2E-E1F9-BDC5175ADCDB,6710D0D1-99D4-7AD1-DC87-D30B89818E87,DE
67673197-F264-25B8-B1E9-FCE6ED0A5772,670EC6AD-54EF-19FC-1F66-16C7EC99C686,DE
67653A03-CF7A-B9D3-0414-5450D56661B3,670F879E-3405-AA7D-3753-5AEF2E9C5479,DE
67653985-9330-9431-D846-7B23607949AB,670FFBFC-CD12-D19C-62E7-5CECC4E63E93,DE
67647A91-B822-91F6-4EE1-8691333342E1,670E5569-20AE-7920-98B8-E3295AD5BABE,DE
676465D9-8814-427C-BF05-EC0FFC83CB70,67122263-1026-6043-B59C-F6F0D1C42689,DE
676ED571-F4F9-5F11-906F-229DC4EE3F11,671FCB46-093E-9A6C-1F0E-73A3E0F5B295,DE
6764E8DD-ABE0-31D7-0AB8-9F1DF873C32A,670F7FDF-5999-B214-9BA9-956A4FB65778,DE
6772440B-433C-4E46-9F5F-C54A181D17CB,6710735B-4DEF-D0D0-C2FD-F9E47781897A,DE
676FCF73-862B-4E06-EA97-935FBC65E5BD,670E4E7E-92D4-7615-F3C1-424E69EB0C2F,DE
6763C635-175C-42EF-EC1E-300B8115937F,67165A82-4FB5-5416-3CFB-6B1D1D390C79,DE
676096F3-F7EC-CB95-011C-ABB4FEFC704E,6716C753-DFD8-1D9F-0A62-2C3FC67D3B7D,DE
676DCFF7-1E49-41E9-3DEC-711B8B3B3A86,6719131D-18A0-E765-EA05-8C7889FB1D38,DE
6777E6D6-1F0A-9FFC-0A50-E808836BF7C6,67191E82-4388-9913-1B0B-AB42F04077B2,DE
67695482-52A6-0C40-0FB4-C392E6547055,671B68FC-0815-EDD1-EC5A-44380A22402E,DE
